_id,Year,Month,State,ATC_Classification,Scheme,Services,Benefits($)
826,2015,March,VIC,Musculo-Skeletal System,Normal Arrangements PBS,174677,5373426
827,2015,March,VIC,Musculo-Skeletal System,Special Arrangements PBS,1367,604354
828,2015,March,VIC,Musculo-Skeletal System,Normal Arrangements RPBS,6861,245101
829,2015,March,VIC,Musculo-Skeletal System,Special Arrangements RPBS,37,16561
830,2015,March,VIC,Nervous System,Normal Arrangements PBS,1124463,29393301
831,2015,March,VIC,Nervous System,Special Arrangements PBS,6045,769518
832,2015,March,VIC,Nervous System,Normal Arrangements RPBS,47662,882062
833,2015,March,VIC,Nervous System,Special Arrangements RPBS,12,9852
834,2015,March,VIC,Anti-Parasitic Products,Normal Arrangements PBS,1696,32921
835,2015,March,VIC,Anti-Parasitic Products,Normal Arrangements RPBS,77,1140
836,2015,March,VIC,Respiratory System,Normal Arrangements PBS,239244,10910427
837,2015,March,VIC,Respiratory System,Special Arrangements PBS,166,380675
838,2015,March,VIC,Respiratory System,Normal Arrangements RPBS,9389,426865
839,2015,March,VIC,Sensory Organs,Normal Arrangements PBS,187443,8344702
840,2015,March,VIC,Sensory Organs,Normal Arrangements RPBS,12850,889504
841,2015,March,VIC,Various +,Normal Arrangements PBS,12741,1530956
842,2015,March,VIC,Various +,Special Arrangements PBS,574,815036
843,2015,March,VIC,Various +,Normal Arrangements RPBS,753,50307
844,2015,March,VIC,Various +,Special Arrangements RPBS,7,8358
845,2015,March,VIC,Other ++,Normal Arrangements PBS,3987,87073
846,2015,March,VIC,Other ++,Normal Arrangements RPBS,17815,387333
847,2015,March,QLD,Alimentary Tract and Metabolism,Normal Arrangements PBS,415254,12561917
848,2015,March,QLD,Alimentary Tract and Metabolism,Special Arrangements PBS,457,4560
849,2015,March,QLD,Alimentary Tract and Metabolism,Normal Arrangements RPBS,29429,618435
850,2015,March,QLD,Alimentary Tract and Metabolism,Special Arrangements RPBS,4,27
851,2015,March,QLD,Blood and Blood Forming Organs,Normal Arrangements PBS,130504,4853633
852,2015,March,QLD,Blood and Blood Forming Organs,Special Arrangements PBS,1433,1757083
853,2015,March,QLD,Blood and Blood Forming Organs,Normal Arrangements RPBS,11588,351352
854,2015,March,QLD,Blood and Blood Forming Organs,Special Arrangements RPBS,107,113711
855,2015,March,QLD,Cardiovascular System,Normal Arrangements PBS,883316,15019093
856,2015,March,QLD,Cardiovascular System,Special Arrangements PBS,186,543026
857,2015,March,QLD,Cardiovascular System,Normal Arrangements RPBS,55445,849261
858,2015,March,QLD,Cardiovascular System,Special Arrangements RPBS,12,42304
859,2015,March,QLD,Dermatologicals,Normal Arrangements PBS,34202,700980
860,2015,March,QLD,Dermatologicals,Normal Arrangements RPBS,3408,67214
861,2015,March,QLD,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,50854,2290259
862,2015,March,QLD,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,3614,199157
863,2015,March,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,47058,826017
864,2015,March,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,283,650709
865,2015,March,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,2278,35726
866,2015,March,QLD,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,25,45097
867,2015,March,QLD,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,203904,4749808
868,2015,March,QLD,General Anti-Infectives for Systemic Use,Special Arrangements PBS,1925,2189962
869,2015,March,QLD,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,9213,121077
870,2015,March,QLD,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,25,31458
871,2015,March,QLD,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,43507,30385059
872,2015,March,QLD,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,4391,7412940
873,2015,March,QLD,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,1462,1093100
874,2015,March,QLD,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,77,196043
875,2015,March,QLD,Musculo-Skeletal System,Normal Arrangements PBS,116288,3778221
876,2015,March,QLD,Musculo-Skeletal System,Special Arrangements PBS,904,353778
877,2015,March,QLD,Musculo-Skeletal System,Normal Arrangements RPBS,7348,243942
878,2015,March,QLD,Musculo-Skeletal System,Special Arrangements RPBS,38,12867
879,2015,March,QLD,Nervous System,Normal Arrangements PBS,741647,19722390
880,2015,March,QLD,Nervous System,Special Arrangements PBS,3663,401009
881,2015,March,QLD,Nervous System,Normal Arrangements RPBS,46351,932382
882,2015,March,QLD,Nervous System,Special Arrangements RPBS,5,13842
883,2015,March,QLD,Anti-Parasitic Products,Normal Arrangements PBS,1574,40111
884,2015,March,QLD,Anti-Parasitic Products,Normal Arrangements RPBS,57,3033
885,2015,March,QLD,Respiratory System,Normal Arrangements PBS,148012,7031637
886,2015,March,QLD,Respiratory System,Special Arrangements PBS,121,245484
887,2015,March,QLD,Respiratory System,Normal Arrangements RPBS,8505,405945
888,2015,March,QLD,Sensory Organs,Normal Arrangements PBS,108362,6364431
889,2015,March,QLD,Sensory Organs,Normal Arrangements RPBS,10894,953344
890,2015,March,QLD,Various +,Normal Arrangements PBS,5775,942515
891,2015,March,QLD,Various +,Special Arrangements PBS,288,379150
892,2015,March,QLD,Various +,Normal Arrangements RPBS,818,58026
893,2015,March,QLD,Various +,Special Arrangements RPBS,13,22159
894,2015,March,QLD,Other ++,Normal Arrangements PBS,2007,20787
895,2015,March,QLD,Other ++,Normal Arrangements RPBS,17941,427568
896,2015,March,SA,Alimentary Tract and Metabolism,Normal Arrangements PBS,190142,5396170
897,2015,March,SA,Alimentary Tract and Metabolism,Special Arrangements PBS,420,11641
898,2015,March,SA,Alimentary Tract and Metabolism,Normal Arrangements RPBS,10024,190412
899,2015,March,SA,Alimentary Tract and Metabolism,Special Arrangements RPBS,1,28
900,2015,March,SA,Blood and Blood Forming Organs,Normal Arrangements PBS,61971,2111290
901,2015,March,SA,Blood and Blood Forming Organs,Special Arrangements PBS,668,878676
902,2015,March,SA,Blood and Blood Forming Organs,Normal Arrangements RPBS,4328,113214
903,2015,March,SA,Blood and Blood Forming Organs,Special Arrangements RPBS,22,18846
904,2015,March,SA,Cardiovascular System,Normal Arrangements PBS,432129,7286656
905,2015,March,SA,Cardiovascular System,Special Arrangements PBS,116,341233
906,2015,March,SA,Cardiovascular System,Normal Arrangements RPBS,19288,280188
907,2015,March,SA,Cardiovascular System,Special Arrangements RPBS,1,2917
908,2015,March,SA,Dermatologicals,Normal Arrangements PBS,16806,325989
909,2015,March,SA,Dermatologicals,Normal Arrangements RPBS,1024,18154
910,2015,March,SA,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,25340,913303
911,2015,March,SA,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,1070,49218
912,2015,March,SA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,19248,348594
913,2015,March,SA,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,141,354840
914,2015,March,SA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,715,9756
915,2015,March,SA,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,7,17605
916,2015,March,SA,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,71527,1677025
917,2015,March,SA,General Anti-Infectives for Systemic Use,Special Arrangements PBS,843,897613
918,2015,March,SA,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,2491,23086
919,2015,March,SA,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,14,15815
920,2015,March,SA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,19833,14273409
921,2015,March,SA,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,1922,3470567
922,2015,March,SA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,443,289864
923,2015,March,SA,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,11,30488
924,2015,March,SA,Musculo-Skeletal System,Normal Arrangements PBS,50320,1590707
925,2015,March,SA,Musculo-Skeletal System,Special Arrangements PBS,222,74844
926,2015,March,SA,Musculo-Skeletal System,Normal Arrangements RPBS,2340,77615
927,2015,March,SA,Musculo-Skeletal System,Special Arrangements RPBS,4,1496
928,2015,March,SA,Nervous System,Normal Arrangements PBS,324633,8488373
929,2015,March,SA,Nervous System,Special Arrangements PBS,1253,137936
930,2015,March,SA,Nervous System,Normal Arrangements RPBS,15067,278670
931,2015,March,SA,Nervous System,Special Arrangements RPBS,4,482
932,2015,March,SA,Anti-Parasitic Products,Normal Arrangements PBS,460,7546
933,2015,March,SA,Anti-Parasitic Products,Normal Arrangements RPBS,7,102
934,2015,March,SA,Respiratory System,Normal Arrangements PBS,65363,2876480
935,2015,March,SA,Respiratory System,Special Arrangements PBS,42,92774
936,2015,March,SA,Respiratory System,Normal Arrangements RPBS,2753,119112
937,2015,March,SA,Sensory Organs,Normal Arrangements PBS,44095,2178071
938,2015,March,SA,Sensory Organs,Normal Arrangements RPBS,3535,212212
939,2015,March,SA,Various +,Normal Arrangements PBS,1991,311959
940,2015,March,SA,Various +,Special Arrangements PBS,107,178084
941,2015,March,SA,Various +,Normal Arrangements RPBS,129,8523
942,2015,March,SA,Various +,Special Arrangements RPBS,1,948
943,2015,March,SA,Other ++,Normal Arrangements PBS,566,6845
944,2015,March,SA,Other ++,Normal Arrangements RPBS,4666,119519
945,2015,March,WA,Alimentary Tract and Metabolism,Normal Arrangements PBS,201152,5993302
946,2015,March,WA,Alimentary Tract and Metabolism,Special Arrangements PBS,383,10437
947,2015,March,WA,Alimentary Tract and Metabolism,Normal Arrangements RPBS,10550,198321
948,2015,March,WA,Blood and Blood Forming Organs,Normal Arrangements PBS,63819,2628277
949,2015,March,WA,Blood and Blood Forming Organs,Special Arrangements PBS,926,1153991
950,2015,March,WA,Blood and Blood Forming Organs,Normal Arrangements RPBS,4213,120437
951,2015,March,WA,Blood and Blood Forming Organs,Special Arrangements RPBS,45,56324
952,2015,March,WA,Cardiovascular System,Normal Arrangements PBS,432680,7179962
953,2015,March,WA,Cardiovascular System,Special Arrangements PBS,122,291906
954,2015,March,WA,Cardiovascular System,Normal Arrangements RPBS,20113,297535
955,2015,March,WA,Cardiovascular System,Special Arrangements RPBS,6,7176
956,2015,March,WA,Dermatologicals,Normal Arrangements PBS,17939,389077
957,2015,March,WA,Dermatologicals,Normal Arrangements RPBS,1204,25739
958,2015,March,WA,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,24670,1163200
959,2015,March,WA,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,1429,77754
960,2015,March,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,20525,392202
961,2015,March,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,163,296550
962,2015,March,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,784,10020
963,2015,March,WA,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,3,6153
964,2015,March,WA,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,76768,1926501
965,2015,March,WA,General Anti-Infectives for Systemic Use,Special Arrangements PBS,1126,1219994
966,2015,March,WA,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,3044,34362
967,2015,March,WA,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,4,2318
968,2015,March,WA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,27580,22022448
969,2015,March,WA,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,3490,5233922
970,2015,March,WA,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,560,415216
971,2015,March,WA,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,34,64511
972,2015,March,WA,Musculo-Skeletal System,Normal Arrangements PBS,52101,1738871
973,2015,March,WA,Musculo-Skeletal System,Special Arrangements PBS,277,118896
974,2015,March,WA,Musculo-Skeletal System,Normal Arrangements RPBS,2487,78017
975,2015,March,WA,Musculo-Skeletal System,Special Arrangements RPBS,18,7409
976,2015,March,WA,Nervous System,Normal Arrangements PBS,343680,8972876
977,2015,March,WA,Nervous System,Special Arrangements PBS,2412,229764
978,2015,March,WA,Nervous System,Normal Arrangements RPBS,15191,274816
979,2015,March,WA,Nervous System,Special Arrangements RPBS,5,13085
980,2015,March,WA,Anti-Parasitic Products,Normal Arrangements PBS,507,9293
981,2015,March,WA,Anti-Parasitic Products,Normal Arrangements RPBS,8,1096
982,2015,March,WA,Respiratory System,Normal Arrangements PBS,61226,3125930
983,2015,March,WA,Respiratory System,Special Arrangements PBS,75,125892
984,2015,March,WA,Respiratory System,Normal Arrangements RPBS,2697,124559
985,2015,March,WA,Sensory Organs,Normal Arrangements PBS,50627,3392171
986,2015,March,WA,Sensory Organs,Normal Arrangements RPBS,3831,353608
987,2015,March,WA,Various +,Normal Arrangements PBS,1907,302205
988,2015,March,WA,Various +,Special Arrangements PBS,114,128816
989,2015,March,WA,Various +,Normal Arrangements RPBS,145,8615
990,2015,March,WA,Various +,Special Arrangements RPBS,2,8470
991,2015,March,WA,Other ++,Normal Arrangements PBS,781,8887
992,2015,March,WA,Other ++,Normal Arrangements RPBS,6401,149027
993,2015,March,TAS,Alimentary Tract and Metabolism,Normal Arrangements PBS,61618,1796536
994,2015,March,TAS,Alimentary Tract and Metabolism,Normal Arrangements RPBS,3562,71595
995,2015,March,TAS,Blood and Blood Forming Organs,Normal Arrangements PBS,15881,605686
996,2015,March,TAS,Blood and Blood Forming Organs,Special Arrangements PBS,286,301709
997,2015,March,TAS,Blood and Blood Forming Organs,Normal Arrangements RPBS,1311,35717
998,2015,March,TAS,Blood and Blood Forming Organs,Special Arrangements RPBS,6,4231
999,2015,March,TAS,Cardiovascular System,Normal Arrangements PBS,132631,2318764
1000,2015,March,TAS,Cardiovascular System,Special Arrangements PBS,110,309108
1001,2015,March,TAS,Cardiovascular System,Normal Arrangements RPBS,6876,94022
1002,2015,March,TAS,Cardiovascular System,Special Arrangements RPBS,4,11628
1003,2015,March,TAS,Dermatologicals,Normal Arrangements PBS,5271,116378
1004,2015,March,TAS,Dermatologicals,Normal Arrangements RPBS,359,6082
1005,2015,March,TAS,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,7344,255258
1006,2015,March,TAS,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,305,13401
1007,2015,March,TAS,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,7321,105607
1008,2015,March,TAS,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,76,140606
1009,2015,March,TAS,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,356,4565
1010,2015,March,TAS,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,21091,632457
1011,2015,March,TAS,General Anti-Infectives for Systemic Use,Special Arrangements PBS,188,225917
1012,2015,March,TAS,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,990,23817
1013,2015,March,TAS,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,2,2849
1014,2015,March,TAS,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,6536,4727531
1015,2015,March,TAS,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,902,1564534
1016,2015,March,TAS,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,185,97118
1017,2015,March,TAS,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,8,6077
1018,2015,March,TAS,Musculo-Skeletal System,Normal Arrangements PBS,14647,452755
1019,2015,March,TAS,Musculo-Skeletal System,Special Arrangements PBS,134,59099
1020,2015,March,TAS,Musculo-Skeletal System,Normal Arrangements RPBS,773,24374
1021,2015,March,TAS,Musculo-Skeletal System,Special Arrangements RPBS,1,444
1022,2015,March,TAS,Nervous System,Normal Arrangements PBS,108186,2657910
1023,2015,March,TAS,Nervous System,Special Arrangements PBS,601,47180
1024,2015,March,TAS,Nervous System,Normal Arrangements RPBS,5380,96012
1025,2015,March,TAS,Anti-Parasitic Products,Normal Arrangements PBS,174,3510
1026,2015,March,TAS,Anti-Parasitic Products,Normal Arrangements RPBS,3,25
1027,2015,March,TAS,Respiratory System,Normal Arrangements PBS,21667,1033278
1028,2015,March,TAS,Respiratory System,Special Arrangements PBS,27,57561
1029,2015,March,TAS,Respiratory System,Normal Arrangements RPBS,974,44114
1030,2015,March,TAS,Sensory Organs,Normal Arrangements PBS,13484,970984
1031,2015,March,TAS,Sensory Organs,Normal Arrangements RPBS,1170,159964
1032,2015,March,TAS,Various +,Normal Arrangements PBS,495,88640
1033,2015,March,TAS,Various +,Special Arrangements PBS,34,23738
1034,2015,March,TAS,Various +,Normal Arrangements RPBS,77,4517
1035,2015,March,TAS,Various +,Special Arrangements RPBS,3,5621
1036,2015,March,TAS,Other ++,Normal Arrangements PBS,238,3105
1037,2015,March,TAS,Other ++,Normal Arrangements RPBS,2615,46459
1038,2015,March,ACT,Alimentary Tract and Metabolism,Normal Arrangements PBS,26079,866785
1039,2015,March,ACT,Alimentary Tract and Metabolism,Normal Arrangements RPBS,2137,44968
1040,2015,March,ACT,Blood and Blood Forming Organs,Normal Arrangements PBS,8833,328144
1041,2015,March,ACT,Blood and Blood Forming Organs,Special Arrangements PBS,1,667
1042,2015,March,ACT,Blood and Blood Forming Organs,Normal Arrangements RPBS,926,28523
1043,2015,March,ACT,Blood and Blood Forming Organs,Special Arrangements RPBS,1,478
1044,2015,March,ACT,Cardiovascular System,Normal Arrangements PBS,53476,887409
1045,2015,March,ACT,Cardiovascular System,Special Arrangements PBS,11,19273
1046,2015,March,ACT,Cardiovascular System,Normal Arrangements RPBS,4316,64428
1047,2015,March,ACT,Cardiovascular System,Special Arrangements RPBS,1,792
1048,2015,March,ACT,Dermatologicals,Normal Arrangements PBS,2483,63457
1049,2015,March,ACT,Dermatologicals,Normal Arrangements RPBS,222,5091
1050,2015,March,ACT,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,3067,190041
1051,2015,March,ACT,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,334,15853
1052,2015,March,ACT,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,2684,70047
1053,2015,March,ACT,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,5,12433
1054,2015,March,ACT,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,151,2703
1055,2015,March,ACT,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,4,5401
1056,2015,March,ACT,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,11080,165491
1057,2015,March,ACT,General Anti-Infectives for Systemic Use,Special Arrangements PBS,3,2337
1058,2015,March,ACT,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,676,5791
1059,2015,March,ACT,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,3439,2356523
1060,2015,March,ACT,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,84,244464
1061,2015,March,ACT,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,133,111415
1062,2015,March,ACT,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,6,33830
1063,2015,March,ACT,Musculo-Skeletal System,Normal Arrangements PBS,7004,246723
1064,2015,March,ACT,Musculo-Skeletal System,Special Arrangements PBS,28,10793
1065,2015,March,ACT,Musculo-Skeletal System,Normal Arrangements RPBS,594,21665
1066,2015,March,ACT,Musculo-Skeletal System,Special Arrangements RPBS,4,1875
1067,2015,March,ACT,Nervous System,Normal Arrangements PBS,45036,1481874
1068,2015,March,ACT,Nervous System,Special Arrangements PBS,25,1877
1069,2015,March,ACT,Nervous System,Normal Arrangements RPBS,3186,71330
1070,2015,March,ACT,Anti-Parasitic Products,Normal Arrangements PBS,58,1533
1071,2015,March,ACT,Anti-Parasitic Products,Normal Arrangements RPBS,3,33
1072,2015,March,ACT,Respiratory System,Normal Arrangements PBS,10443,395389
1073,2015,March,ACT,Respiratory System,Normal Arrangements RPBS,592,28119
1074,2015,March,ACT,Sensory Organs,Normal Arrangements PBS,5828,315982
1075,2015,March,ACT,Sensory Organs,Normal Arrangements RPBS,680,33934
1076,2015,March,ACT,Various +,Normal Arrangements PBS,289,76403
1077,2015,March,ACT,Various +,Special Arrangements PBS,1,292
1078,2015,March,ACT,Various +,Normal Arrangements RPBS,80,9745
1079,2015,March,ACT,Other ++,Normal Arrangements PBS,193,8149
1080,2015,March,ACT,Other ++,Normal Arrangements RPBS,1194,25012
1081,2015,March,NT,Alimentary Tract and Metabolism,Normal Arrangements PBS,7900,280910
1082,2015,March,NT,Alimentary Tract and Metabolism,Normal Arrangements RPBS,315,7426
1083,2015,March,NT,Blood and Blood Forming Organs,Normal Arrangements PBS,2343,81800
1084,2015,March,NT,Blood and Blood Forming Organs,Special Arrangements PBS,269,161165
1085,2015,March,NT,Blood and Blood Forming Organs,Normal Arrangements RPBS,99,2522
1086,2015,March,NT,Cardiovascular System,Normal Arrangements PBS,17175,280675
1087,2015,March,NT,Cardiovascular System,Special Arrangements PBS,9,19315
1088,2015,March,NT,Cardiovascular System,Normal Arrangements RPBS,719,10142
1089,2015,March,NT,Dermatologicals,Normal Arrangements PBS,638,19259
1090,2015,March,NT,Dermatologicals,Normal Arrangements RPBS,57,1179
1091,2015,March,NT,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,968,71630
1092,2015,March,NT,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,57,3132
1093,2015,March,NT,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,969,37275
1094,2015,March,NT,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,2,3510
1095,2015,March,NT,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,32,359
1096,2015,March,NT,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,3952,63846
1097,2015,March,NT,General Anti-Infectives for Systemic Use,Special Arrangements PBS,24,27180
1098,2015,March,NT,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,114,650
1099,2015,March,NT,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,763,484396
1100,2015,March,NT,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,52,56264
1101,2015,March,NT,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,9,1501
1102,2015,March,NT,Musculo-Skeletal System,Normal Arrangements PBS,1846,38525
1103,2015,March,NT,Musculo-Skeletal System,Special Arrangements PBS,2,825
1104,2015,March,NT,Musculo-Skeletal System,Normal Arrangements RPBS,94,1156
1105,2015,March,NT,Nervous System,Normal Arrangements PBS,11734,401398
1106,2015,March,NT,Nervous System,Special Arrangements PBS,29,1420
1107,2015,March,NT,Nervous System,Normal Arrangements RPBS,442,10495
1108,2015,March,NT,Anti-Parasitic Products,Normal Arrangements PBS,97,2190
1109,2015,March,NT,Anti-Parasitic Products,Normal Arrangements RPBS,6,70
1110,2015,March,NT,Respiratory System,Normal Arrangements PBS,3782,139916
1111,2015,March,NT,Respiratory System,Normal Arrangements RPBS,69,3287
1112,2015,March,NT,Sensory Organs,Normal Arrangements PBS,1466,66335
1113,2015,March,NT,Sensory Organs,Normal Arrangements RPBS,101,2222
1114,2015,March,NT,Various +,Normal Arrangements PBS,97,27850
1115,2015,March,NT,Other ++,Normal Arrangements PBS,21,518
1116,2015,March,NT,Other ++,Normal Arrangements RPBS,32,2820
1117,2015,April,NSW,Alimentary Tract and Metabolism,Normal Arrangements PBS,714460,20511607
1118,2015,April,NSW,Alimentary Tract and Metabolism,Normal Arrangements RPBS,38422,706355
1119,2015,April,NSW,Blood and Blood Forming Organs,Normal Arrangements PBS,210946,7083871
1120,2015,April,NSW,Blood and Blood Forming Organs,Special Arrangements PBS,3552,4174702
1121,2015,April,NSW,Blood and Blood Forming Organs,Normal Arrangements RPBS,15349,389102
1122,2015,April,NSW,Blood and Blood Forming Organs,Special Arrangements RPBS,164,146274
1123,2015,April,NSW,Cardiovascular System,Normal Arrangements PBS,1502051,24764418
1124,2015,April,NSW,Cardiovascular System,Special Arrangements PBS,396,923332
1125,2015,April,NSW,Cardiovascular System,Normal Arrangements RPBS,69942,966676
1126,2015,April,NSW,Cardiovascular System,Special Arrangements RPBS,16,36392
1127,2015,April,NSW,Dermatologicals,Normal Arrangements PBS,67642,1409829
1128,2015,April,NSW,Dermatologicals,Normal Arrangements RPBS,4197,79208
1129,2015,April,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements PBS,69063,2614139
1130,2015,April,NSW,Genito Urinary System and Sex Hormones,Normal Arrangements RPBS,3916,183771
1131,2015,April,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements PBS,72639,1359991
1132,2015,April,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements PBS,759,1529203
1133,2015,April,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Normal Arrangements RPBS,3015,42610
1134,2015,April,NSW,"Systemic Hormonal Preparations, excl. Sex Hormones",Special Arrangements RPBS,11,23160
1135,2015,April,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements PBS,310055,7831985
1136,2015,April,NSW,General Anti-Infectives for Systemic Use,Special Arrangements PBS,8478,9176529
1137,2015,April,NSW,General Anti-Infectives for Systemic Use,Normal Arrangements RPBS,11494,105061
1138,2015,April,NSW,General Anti-Infectives for Systemic Use,Special Arrangements RPBS,51,45046
1139,2015,April,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements PBS,72384,56670643
1140,2015,April,NSW,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements PBS,9961,13588570
1141,2015,April,NSW,Anti-Neoplastic and Immunomodulating Agents,Normal Arrangements RPBS,1481,1123913
1142,2015,April,NSW,Anti-Neoplastic and Immunomodulating Agents,Special Arrangements RPBS,64,116203
1143,2015,April,NSW,Musculo-Skeletal System,Normal Arrangements PBS,180978,6457412
1144,2015,April,NSW,Musculo-Skeletal System,Special Arrangements PBS,879,380531
1145,2015,April,NSW,Musculo-Skeletal System,Normal Arrangements RPBS,8370,313782
1146,2015,April,NSW,Musculo-Skeletal System,Special Arrangements RPBS,23,8252
1147,2015,April,NSW,Nervous System,Normal Arrangements PBS,1001366,27412392
1148,2015,April,NSW,Nervous System,Special Arrangements PBS,8181,747542
1149,2015,April,NSW,Nervous System,Normal Arrangements RPBS,50924,961553
1150,2015,April,NSW,Nervous System,Special Arrangements RPBS,7,360
1151,2015,April,NSW,Anti-Parasitic Products,Normal Arrangements PBS,2550,52579
1152,2015,April,NSW,Anti-Parasitic Products,Normal Arrangements RPBS,111,1712
1153,2015,April,NSW,Respiratory System,Normal Arrangements PBS,255591,11002786
1154,2015,April,NSW,Respiratory System,Special Arrangements PBS,236,530621
1155,2015,April,NSW,Respiratory System,Normal Arrangements RPBS,10280,450084
1156,2015,April,NSW,Sensory Organs,Normal Arrangements PBS,201141,13242792
1157,2015,April,NSW,Sensory Organs,Normal Arrangements RPBS,16476,1614400
1158,2015,April,NSW,Various +,Normal Arrangements PBS,14810,1701893
1159,2015,April,NSW,Various +,Special Arrangements PBS,627,826385
1160,2015,April,NSW,Various +,Normal Arrangements RPBS,1401,89850
1161,2015,April,NSW,Various +,Special Arrangements RPBS,12,25485
1162,2015,April,NSW,Other ++,Normal Arrangements PBS,3725,72817
1163,2015,April,NSW,Other ++,Normal Arrangements RPBS,23040,601653
